"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Stemmeberettigede";"FV2022 - Afgivne stemmer";"FV2022 - Blanke stemmer";"FV2022 - Andre ugyldige stemmer";"FV2022 - Gyldige stemmer";"FV2022 - A. Socialdemokratiet";"FV2022 - B. Radikale Venstre";"FV2022 - C. Det Konservative Folkeparti";"FV2022 - D. Nye Borgerlige";"FV2022 - F. SF - Socialistisk Folkeparti";"FV2022 - I. Liberal Alliance";"FV2022 - K. Kristendemokraterne";"FV2022 - M. Minoritetspartiet";"FV2022 - O. Dansk Folkeparti";"FV2022 - Q. Frie Grønne, Danmarks Nye Venstrefløjsparti";"FV2022 - V. Venstre, Danmarks Liberale Parti";"FV2022 - Æ. Danmarksdemokraterne - Inger Støjberg";"FV2022 - Ø. Enhedslisten - De Rød-Grønne";"FV2022 - Å. Alternativet";"FV2022 - 1. Uden for partierne";"FV2022 - 2. Uden for partierne";"FV2022 - 3. Uden for partierne"
"101001";"101001";"1";"1";"1";"11022";"9742";"116";"32";"9594";"1665";"823";"520";"135";"1148";"1046";"23";"1068";"87";"67";"946";"83";"1121";"848";"12";"2";"-"
"101002";"101002";"1";"1";"1";"6071";"5213";"48";"6";"5159";"878";"390";"382";"81";"520";"552";"14";"625";"80";"42";"642";"85";"482";"380";"5";"1";"-"
"101003";"101003";"1";"1";"1";"11124";"10110";"94";"15";"10001";"1622";"964";"515";"108";"1260";"878";"18";"1064";"89";"66";"874";"87";"1305";"1135";"13";"3";"-"
"101005";"101005";"1";"1";"1";"10900";"9057";"124";"29";"8904";"1789";"691";"426";"153";"1072";"730";"31";"881";"156";"169";"693";"119";"1160";"821";"11";"2";"-"
"101006";"101006";"1";"1";"1";"9550";"8078";"105";"25";"7948";"1538";"700";"441";"122";"847";"761";"21";"818";"122";"133";"623";"113";"979";"714";"11";"5";"-"
"101007";"101007";"2";"1";"1";"9512";"7376";"135";"44";"7197";"1841";"472";"227";"180";"851";"440";"22";"529";"185";"242";"511";"191";"932";"550";"17";"7";"-"
"101008";"101008";"2";"1";"1";"13144";"10614";"145";"52";"10417";"2013";"799";"360";"151";"1316";"778";"25";"911";"161";"351";"689";"182";"1654";"999";"20";"8";"-"
"101009";"101009";"2";"1";"1";"12600";"9938";"138";"50";"9750";"1641";"732";"513";"226";"1033";"1238";"20";"1056";"106";"235";"1005";"177";"995";"757";"10";"6";"-"
"101010";"101010";"2";"1";"1";"10582";"9338";"96";"30";"9212";"1491";"728";"547";"116";"1025";"1067";"4";"1088";"95";"64";"989";"122";"1050";"814";"12";"0";"-"
"101011";"101011";"3";"1";"1";"14528";"11290";"102";"20";"11168";"1335";"1093";"633";"132";"1126";"1331";"16";"1230";"89";"144";"963";"90";"1701";"1266";"10";"9";"-"
"101012";"101012";"3";"1";"1";"6329";"5732";"52";"10";"5670";"815";"525";"361";"53";"601";"624";"10";"625";"43";"27";"620";"55";"721";"580";"8";"2";"-"
"101013";"101013";"3";"1";"1";"9429";"8279";"57";"30";"8192";"1310";"593";"283";"90";"890";"596";"12";"737";"68";"84";"563";"96";"1531";"1318";"18";"3";"-"
"101014";"101014";"3";"1";"1";"11689";"10193";"114";"38";"10041";"1409";"816";"734";"126";"916";"1412";"24";"1255";"90";"49";"1149";"97";"1045";"904";"9";"6";"-"
"101016";"101016";"4";"1";"1";"11045";"9014";"134";"37";"8843";"1802";"634";"384";"188";"995";"803";"19";"924";"162";"126";"717";"170";"1091";"806";"22";"0";"-"
"101017";"101017";"4";"1";"1";"14277";"11666";"165";"33";"11468";"2183";"837";"419";"227";"1373";"903";"26";"1008";"176";"225";"836";"233";"1797";"1192";"22";"11";"-"
"101018";"101018";"4";"1";"1";"8064";"6705";"100";"15";"6590";"1582";"411";"267";"145";"880";"478";"17";"558";"136";"66";"527";"161";"779";"573";"8";"2";"-"
"101019";"101019";"4";"1";"1";"9353";"7914";"80";"24";"7810";"1682";"604";"378";"132";"942";"691";"26";"846";"115";"67";"729";"175";"759";"658";"5";"1";"-"
"101020";"101020";"5";"1";"1";"6295";"5254";"70";"25";"5159";"818";"368";"105";"40";"690";"195";"15";"353";"41";"164";"212";"60";"1271";"814";"13";"0";"-"
"101021";"101021";"5";"1";"1";"9966";"8437";"113";"28";"8296";"907";"804";"232";"76";"1039";"544";"15";"658";"64";"287";"484";"64";"1843";"1266";"8";"5";"-"
"101022";"101022";"5";"1";"1";"5860";"4935";"56";"22";"4857";"609";"389";"134";"41";"513";"238";"11";"320";"43";"285";"273";"38";"1219";"733";"8";"3";"-"
"101023";"101023";"5";"1";"1";"6517";"5734";"40";"18";"5676";"672";"523";"171";"41";"685";"445";"5";"513";"26";"87";"327";"33";"1190";"944";"8";"6";"-"
"101024";"101024";"5";"1";"1";"6786";"5857";"68";"12";"5777";"837";"455";"137";"47";"814";"301";"8";"383";"55";"182";"295";"60";"1361";"829";"9";"4";"-"
"101025";"101025";"5";"1";"1";"9766";"8355";"89";"35";"8231";"932";"773";"184";"69";"1099";"405";"14";"568";"62";"222";"393";"53";"2127";"1315";"11";"4";"-"
"101027";"101027";"6";"1";"1";"10076";"8016";"114";"18";"7884";"1113";"644";"217";"116";"955";"451";"23";"509";"110";"395";"389";"119";"1818";"1015";"8";"2";"-"
"101028";"101028";"6";"1";"1";"7232";"5650";"82";"37";"5531";"1259";"333";"182";"92";"737";"279";"17";"376";"125";"193";"300";"140";"961";"524";"11";"2";"-"
"101029";"101029";"6";"1";"1";"4120";"3215";"35";"9";"3171";"798";"172";"125";"79";"375";"211";"9";"225";"97";"108";"214";"81";"451";"217";"6";"3";"-"
"101030";"101030";"6";"1";"1";"9123";"7333";"101";"29";"7203";"1083";"489";"191";"106";"901";"407";"17";"509";"103";"270";"391";"90";"1692";"938";"16";"0";"-"
"101031";"101031";"7";"1";"1";"3776";"3295";"40";"10";"3245";"739";"234";"153";"69";"473";"196";"7";"262";"55";"72";"227";"56";"435";"262";"4";"1";"-"
"101032";"101032";"7";"1";"1";"2597";"1577";"22";"17";"1538";"336";"82";"22";"15";"116";"51";"7";"64";"34";"409";"36";"28";"263";"71";"3";"1";"-"
"101033";"101033";"7";"1";"1";"7072";"5967";"82";"14";"5871";"1228";"432";"245";"108";"811";"425";"19";"530";"103";"101";"436";"121";"788";"513";"10";"1";"-"
"101034";"101034";"7";"1";"1";"7807";"6522";"71";"17";"6434";"1449";"463";"213";"84";"938";"314";"13";"472";"105";"259";"367";"93";"1058";"594";"9";"3";"-"
"101035";"101035";"7";"1";"1";"6031";"4397";"76";"28";"4293";"1038";"268";"168";"63";"518";"224";"17";"280";"117";"292";"241";"127";"631";"300";"9";"0";"-"
"101036";"101036";"7";"1";"1";"7759";"6393";"88";"8";"6297";"1688";"341";"248";"140";"879";"324";"14";"506";"182";"237";"429";"200";"680";"422";"4";"3";"-"
"101039";"101039";"7";"1";"1";"4566";"3930";"65";"6";"3859";"853";"309";"195";"65";"504";"321";"9";"331";"64";"52";"338";"66";"453";"296";"2";"1";"-"
"101040";"101040";"7";"1";"1";"5107";"4445";"56";"14";"4375";"923";"325";"247";"66";"650";"317";"14";"401";"75";"58";"372";"86";"501";"333";"4";"3";"-"
"101041";"101041";"7";"1";"1";"9963";"8418";"137";"36";"8245";"1922";"507";"375";"146";"1039";"652";"30";"784";"152";"178";"751";"145";"983";"564";"8";"9";"-"
"101042";"101042";"8";"1";"1";"8012";"6779";"86";"19";"6674";"1423";"516";"320";"133";"890";"536";"15";"579";"113";"115";"563";"136";"797";"524";"13";"1";"-"
"101043";"101043";"8";"1";"1";"8817";"7577";"136";"22";"7419";"1483";"561";"350";"114";"930";"657";"12";"736";"116";"113";"647";"125";"915";"648";"9";"3";"-"
"101044";"101044";"8";"1";"1";"8846";"6921";"115";"30";"6776";"1359";"469";"343";"142";"774";"636";"14";"649";"92";"269";"671";"137";"733";"470";"14";"4";"-"
"101046";"101046";"8";"1";"1";"4699";"3549";"66";"15";"3468";"864";"198";"150";"82";"410";"249";"6";"289";"93";"153";"238";"113";"385";"231";"5";"2";"-"
"101047";"101047";"8";"1";"1";"4872";"3818";"57";"18";"3743";"841";"222";"129";"53";"473";"266";"8";"284";"78";"149";"287";"90";"542";"317";"4";"0";"-"
