from_id;to_id;walk_t;walk_d;car_r_t;car_r_d;car_m_t;car_m_d;pt_r_t;pt_r_tt;pt_r_d;pt_m_t;pt_m_tt;pt_m_d
5785640;5975373;456;31918;49;31947;44;31985;110;137;32758;118;149;32758
5785641;5975373;419;29302;49;32158;44;32196;113;134;32964;121;147;32964
5785642;5975373;420;29381;57;31560;51;29821;115;134;33082;123;148;33082
5785643;5975373;424;29674;60;34116;55;32377;119;144;33375;127;152;33375
5787544;5975373;449;31429;48;31522;43;31559;103;121;32269;111;128;32269
5787545;5975373;450;31498;51;31808;46;31846;104;121;32338;112;133;32338
5787546;5975373;453;31724;54;30586;48;28847;108;137;32564;116;139;32564
5787547;5975373;417;29188;53;30977;47;29238;120;142;33463;128;150;33463
5787548;5975373;414;28962;52;31098;46;29360;117;135;33191;125;146;33191
5787549;5975373;416;29096;54;31342;48;29603;121;142;33483;129;150;33483
5787550;5975373;453;31679;58;33915;52;32176;183;201;31925;185;193;32758
5789447;5975373;409;28662;43;29332;38;29369;64;81;29502;72;99;29502
5789448;5975373;409;28659;44;29697;39;29734;64;81;29523;72;99;29523
5789449;5975373;410;28719;45;30123;40;30160;65;81;29583;73;100;29583
5789450;5975373;452;31665;49;30441;44;30479;107;131;32505;115;136;32505
5789451;5975373;453;31703;51;31769;45;31806;107;137;32544;115;139;32544
5789452;5975373;409;28624;53;30485;47;28746;115;135;30058;124;139;34143
5789453;5975373;409;28660;51;30662;46;28923;115;135;30094;124;139;34180
5789454;5975373;411;28747;52;30926;46;29187;117;135;30181;125;140;34266
5789455;5975373;413;28923;53;31147;47;29408;119;139;30357;128;143;34443
5789456;5975373;450;31518;56;33825;50;32086;180;195;31764;183;193;32597
5791353;5975373;415;29021;41;28922;36;28960;69;91;29862;77;100;29862
5791354;5975373;411;28789;42;29513;37;29551;66;81;29630;74;99;29630
5791355;5975373;404;28312;43;29694;38;29732;61;77;29291;69;99;29291
5791356;5975373;405;28374;46;30319;41;30357;66;81;29639;74;100;29639
5791357;5975373;407;28462;49;30433;44;30471;68;91;29707;76;101;29707
5791358;5975373;407;28512;52;29980;47;28241;113;135;29946;122;136;34032
