from_id;to_id;walk_t;walk_d;car_r_t;car_r_d;car_m_t;car_m_d;pt_r_t;pt_r_tt;pt_r_d;pt_m_t;pt_m_tt;pt_m_d
5785640;5980260;468;32784;56;33768;49;33805;118;147;34474;125;156;34474
5785641;5980260;431;30168;56;33979;49;34016;121;142;34680;128;155;34680
5785642;5980260;432;30247;63;33380;56;31641;123;142;34797;130;156;34797
5785643;5980260;436;30540;67;35937;60;34198;127;153;35090;134;160;35090
5787544;5980260;461;32295;55;33342;48;33380;111;130;33984;118;135;33984
5787545;5980260;462;32364;58;33628;51;33666;112;130;34053;119;140;34053
5787546;5980260;466;32590;60;32406;54;30667;115;147;34279;122;147;34279
5787547;5980260;429;30054;59;32797;52;31058;128;150;35178;135;158;35178
5787548;5980260;426;29828;58;32919;51;31180;124;143;34906;131;154;34906
5787549;5980260;428;29962;60;33162;53;31423;128;150;35198;135;158;35198
5787550;5980260;465;32545;64;35736;57;33997;190;209;33640;192;200;34473
5789447;5980260;422;29528;50;31152;44;31190;70;89;31217;80;111;31217
5789448;5980260;422;29525;51;31517;45;31555;70;89;31238;80;111;31238
5789449;5980260;423;29585;52;31943;45;31980;71;89;31298;81;111;31298
5789450;5980260;465;32531;55;32262;49;32299;114;140;34221;121;143;34221
5789451;5980260;465;32569;57;33589;50;33627;115;147;34259;122;147;34259
5789452;5980260;421;29490;59;32306;52;30567;122;143;31773;130;147;35858
5789453;5980260;422;29526;58;32482;51;30743;123;143;31809;131;147;35895
5789454;5980260;423;29613;58;32746;51;31007;124;143;31896;132;148;35982
5789455;5980260;426;29789;60;32967;53;31228;127;147;32072;135;151;36158
5789456;5980260;463;32384;62;35646;55;33907;188;203;33479;189;200;34313
5791353;5980260;427;29888;48;30743;42;30780;77;99;31577;85;111;31577
5791354;5980260;424;29655;49;31334;43;31371;71;89;31345;81;111;31345
5791355;5980260;417;29178;50;31514;43;31552;67;84;31006;77;111;31006
5791356;5980260;418;29240;53;32140;46;32177;71;89;31354;81;111;31354
5791357;5980260;419;29328;56;32254;49;32291;76;99;31422;84;111;31422
5791358;5980260;420;29379;59;31800;52;30061;121;143;31662;129;144;35747
5791359;5980260;417;29181;57;32123;50;30384;118;143;31464;126;144;35550
5791360;5980260;418;29235;59;32491;52;30752;119;143;31518;127;144;35604
5791361;5980260;423;29589;61;32846;54;31107;124;143;31872;132;148;35957
5791362;5980260;427;29900;62;33154;55;31415;128;151;32183;135;158;32183
5791363;5980260;463;32379;64;35541;57;33803;188;203;33474;189;200;34308
5793258;5980260;432;30273;50;32007;44;32044;82;105;31963;90;116;31963
5793259;5980260;428;29973;52;31847;45;31885;78;99;31663;86;116;31663
5793260;5980260;429;30008;52;31811;46;31848;78;99;31697;86;116;31697
5793261;5980260;415;29051;50;31592;43;31629;70;89;31142;80;111;31142
5793262;5980260;414;28947;53;32017;46;32054;70;89;31140;80;111;31140
5793263;5980260;414;28994;58;33122;51;33160;77;99;30723;85;116;30723
5793264;5980260;413;28925;59;31744;52;30005;114;137;31208;122;135;35294
5793265;5980260;414;28966;58;32077;51;30338;115;142;31249;123;139;35334
5793266;5980260;414;28975;61;32274;54;30535;115;142;31258;123;139;35344
5793267;5980260;425;29750;64;33069;57;31330;126;147;32032;134;151;36118
5793268;5980260;431;30147;64;33295;57;31556;132;155;32430;139;158;32430
5793269;5980260;461;32245;60;32107;54;30368;186;203;33340;187;198;34173
5793270;5980260;458;32064;63;34996;56;33257;183;203;33159;185;196;33993
5795164;5980260;434;30348;52;32131;45;32168;83;109;32038;91;116;32038
5795165;5980260;435;30430;57;33907;50;33945;84;109;32120;92;121;32120
5795166;5980260;434;30360;57;33757;50;33794;83;109;32050;91;116;32050
5795167;5980260;410;28726;51;32142;45;32180;71;89;30441;81;111;30441
5795168;5980260;410;28726;53;32704;46;32741;71;89;30441;81;111;30441
5795169;5980260;412;28807;56;32926;49;32964;72;91;30536;82;111;30536
5795170;5980260;409;28656;56;31483;50;29744;111;129;30939;118;130;35024
5795171;5980260;408;28574;58;31784;51;30045;109;124;30857;117;130;34943
5795172;5980260;413;28909;60;32226;53;30487;114;137;31192;122;135;35278
5795173;5980260;416;29138;61;32317;54;30578;117;143;31420;125;143;35506
5795174;5980260;414;28947;59;31951;52;30212;115;137;31230;123;135;35316
5795175;5980260;413;28885;60;32088;53;30349;114;137;31168;122;135;35253
5795176;5980260;459;32101;56;31612;49;29873;184;203;33196;185;197;34029
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5980260;436;30547;52;32409;46;32447;86;111;32236;94;121;32236
5797071;5980260;438;30664;55;33809;48;33847;88;111;32353;96;121;32353
5797072;5980260;412;28817;55;33526;48;33563;72;91;30532;82;111;30532
5797073;5980260;408;28532;54;33611;47;33648;68;89;30247;78;111;30247
5797074;5980260;406;28414;52;32475;45;32513;67;84;30143;77;111;30143
5797075;5980260;409;28623;54;32808;47;32845;70;89;30351;80;111;30351
5797076;5980260;405;28339;57;31430;50;29691;106;122;30622;114;129;30622
5797077;5980260;407;28466;60;31862;54;30123;108;124;30748;116;130;34834
5797078;5980260;411;28799;62;32400;55;30661;113;129;31082;120;132;35168
5797079;5980260;410;28706;60;32236;53;30497;111;129;30989;119;131;35075
