from_id;to_id;walk_t;walk_d;car_r_t;car_r_d;car_m_t;car_m_d;pt_r_t;pt_r_tt;pt_r_d;pt_m_t;pt_m_tt;pt_m_d
5785640;5878070;318;22279;39;23233;34;23233;101;131;24276;106;138;22627
5785641;5878070;281;19662;39;23444;34;23444;108;129;26134;109;137;22833
5785642;5878070;282;19742;45;17666;41;17666;109;129;26251;111;137;22951
5785643;5878070;286;20034;46;24695;40;24698;114;138;26544;115;141;23244
5787544;5878070;311;21789;38;22807;33;22807;98;115;25438;90;113;22138
5787545;5878070;312;21858;41;23093;36;23093;99;115;25507;91;119;22207
5787546;5878070;315;22084;42;16692;38;16692;98;131;24082;94;126;22433
5787547;5878070;279;19548;41;17083;37;17083;115;137;26632;116;136;23332
5787548;5878070;276;19323;40;17204;36;17204;111;129;26360;112;132;25065
5787549;5878070;278;19457;42;17448;37;17448;115;137;26652;117;136;23352
5787550;5878070;297;20818;43;24493;37;24497;167;192;24302;160;175;22653
5789447;5878070;272;19022;33;20617;29;20617;58;75;22672;51;84;19371
5789448;5878070;272;19019;34;20982;30;20982;59;75;22692;51;84;19391
5789449;5878070;273;19080;35;21408;31;21408;59;75;22752;52;84;19452
5789450;5878070;315;22026;38;21727;34;21727;97;125;24023;94;123;22374
5789451;5878070;315;22064;40;23054;36;23054;98;131;24061;94;126;22412
5789452;5878070;271;18984;41;16591;37;16591;109;129;23227;111;128;19926
5789453;5878070;272;19021;40;16768;35;16768;110;129;23263;111;128;19962
5789454;5878070;273;19108;40;17032;36;17032;111;129;23350;112;129;20049
5789455;5878070;275;19284;41;17253;37;17253;113;133;23526;115;132;22231
5789456;5878070;295;20657;41;24404;35;24407;165;187;24141;158;175;22492
5791353;5878070;277;19382;31;20208;27;20208;63;84;23031;56;84;19731
5791354;5878070;274;19150;32;20799;28;20799;60;75;22799;53;84;19499
5791355;5878070;267;18673;33;20979;29;20979;55;72;22460;48;84;19160
5791356;5878070;268;18735;36;21605;32;21605;60;75;22808;53;84;19508
5791357;5878070;269;18822;39;21719;35;21719;63;84;22876;55;84;19576
5791358;5878070;270;18873;41;16086;36;16086;108;129;23116;109;126;19815
5791359;5878070;267;18676;39;16409;35;16409;105;129;22918;106;126;19617
5791360;5878070;268;18730;41;16777;37;16777;106;129;22972;107;126;19672
5791361;5878070;273;19083;43;17131;38;17131;111;129;23326;112;129;20025
5791362;5878070;277;19394;44;17440;40;17440;115;138;23637;117;136;22342
5791363;5878070;295;20652;43;24299;37;24303;165;187;24136;158;175;22487
5793258;5878070;282;19768;33;21472;29;21472;69;89;23417;61;90;20117
5793259;5878070;278;19468;35;21312;31;21312;65;84;23117;57;90;19816
5793260;5878070;279;19502;35;21276;31;21276;65;84;23151;58;90;19851
5793261;5878070;265;18546;33;21057;29;21057;59;75;22596;51;84;19295
5793262;5878070;263;18441;36;21482;31;21482;59;75;22594;51;84;19294
5793263;5878070;264;18489;41;22587;36;22587;64;84;22177;56;90;18876
5793264;5878070;263;18420;40;16030;36;16030;101;123;22662;94;116;19362
5793265;5878070;264;18460;40;16362;35;16362;102;129;22703;94;120;19402
5793266;5878070;264;18470;42;16559;38;16559;102;129;22712;94;120;19411
5793267;5878070;275;19244;46;17354;42;17354;113;132;23486;114;132;22192
5793268;5878070;281;19642;46;17581;42;17581;119;142;23884;120;138;20583
5793269;5878070;299;20953;42;16393;38;16393;163;187;24002;156;170;22353
5793270;5878070;297;20772;43;24408;37;24502;161;187;23821;153;167;22172
5795164;5878070;283;19843;34;21596;30;21596;70;93;23492;62;90;20192
5795165;5878070;285;19924;40;23372;35;23372;71;94;23574;64;96;20273
5795166;5878070;284;19854;40;23222;35;23222;70;93;23504;63;90;20203
5795167;5878070;260;18220;34;21607;30;21607;60;75;21895;52;84;18594
5795168;5878070;260;18221;36;22169;32;22169;60;75;21896;52;84;18595
5795169;5878070;261;18302;39;22391;34;22391;61;77;21990;54;84;18689
5795170;5878070;259;18150;38;15768;34;15768;97;115;22393;90;110;19092
5795171;5878070;258;18069;39;16070;35;16070;96;110;22312;89;110;19011
5795172;5878070;263;18404;42;16512;37;16512;101;123;22646;93;116;19346
5795173;5878070;266;18632;43;16603;39;16603;104;129;22875;97;123;19574
5795174;5878070;263;18442;40;16237;36;16237;101;123;22684;94;116;19384
5795175;5878070;263;18379;42;16373;38;16373;101;123;22622;93;116;19321
5795176;5878070;297;20808;38;15897;34;15897;161;187;23858;154;169;22208
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5878070;286;20041;35;21874;31;21874;73;96;23690;65;96;20390
5797071;5878070;288;20158;38;23274;34;23274;74;96;23807;67;96;20507
5797072;5878070;262;18312;38;22991;33;22991;61;77;21986;54;84;18686
5797073;5878070;258;18027;37;23076;33;23076;57;75;21701;49;84;18401
5797074;5878070;256;17909;35;21940;31;21940;55;72;21597;48;84;18296
5797075;5878070;259;18117;37;22273;33;22273;58;75;21805;51;84;18505
5797076;5878070;255;17833;39;15716;34;15716;93;108;22076;85;103;18775
5797077;5878070;257;17960;42;16148;38;16148;95;110;22202;87;108;18902
5797078;5878070;261;18294;44;16685;40;16685;99;115;22536;92;113;19236
5797079;5878070;260;18201;42;16522;37;16522;98;115;22443;90;110;19143
5797080;5878070;261;18246;38;15732;33;15732;99;115;22488;91;113;19187
5797081;5878070;260;18232;42;16352;37;16352;98;115;22474;91;110;19174
5797082;5878070;258;18025;37;15884;33;15884;110;130;20288;103;122;18639
5798974;5878070;249;17442;27;18018;23;18018;67;95;20188;68;89;20708
5798975;5878070;291;20401;36;22221;32;22221;78;96;24051;70;96;20750
5798976;5878070;291;20396;38;22109;34;22109;78;96;24045;70;96;20745
5798977;5878070;291;20403;39;23314;34;23314;78;96;24052;70;96;20752
5798978;5878070;255;17842;37;22786;33;22786;58;75;21524;51;84;18224
5798979;5878070;252;17665;38;23144;33;23144;56;72;21348;48;84;18047
5798980;5878070;252;17665;36;22304;32;22304;56;72;21348;48;84;18047
5798981;5878070;256;17937;38;22691;34;22691;60;75;21620;52;84;18319
5798982;5878070;252;17666;38;15576;33;15576;90;107;21908;83;102;18607
5798983;5878070;251;17540;40;15516;36;15516;89;107;21782;81;102;18482
5798984;5878070;250;17533;42;15508;37;15508;88;102;21775;81;102;18475
5798985;5878070;256;17898;39;15400;34;15400;94;109;22140;86;105;18840
5798986;5878070;254;17760;39;15666;34;15666;92;107;22002;84;103;18702
5798987;5878070;257;18016;41;16125;37;16125;95;110;22258;88;108;18958
5798988;5878070;252;17610;37;15360;33;15360;104;117;19872;97;115;18223
5800879;5878070;242;16945;26;17739;23;17739;51;79;18243;61;78;20211
5800880;5878070;246;17224;27;18014;23;18014;55;86;18522;65;83;20490
5800881;5878070;294;20606;24;17642;22;17642;81;96;24255;73;102;20955
5800882;5878070;254;17753;42;15632;37;15632;77;96;22294;70;96;18994
5800883;5878070;254;17789;41;15409;36;15409;78;96;22330;70;96;19029
5800884;5878070;253;17710;37;22602;32;22602;57;75;21417;49;84;18117
5800885;5878070;249;17446;36;22305;31;22305;53;69;21190;46;84;17890
5800886;5878070;247;17298;39;22596;34;22596;55;72;21334;48;84;18033
5800887;5878070;249;17419;39;22680;34;22680;59;75;21607;52;84;18306
5800888;5878070;241;16877;37;14692;33;14692;79;96;21119;72;95;17818
5800889;5878070;247;17280;38;15281;34;15281;85;102;21523;77;99;18222
5800890;5878070;248;17356;40;15194;36;15194;86;102;21599;78;101;18298
5800891;5878070;251;17567;37;15071;33;15071;89;107;21810;81;102;18509
5800892;5878070;250;17504;39;15545;35;15545;88;102;21746;81;102;18446
5800893;5878070;252;17666;41;16086;36;16086;90;107;21908;83;102;18607
5800894;5878070;250;17519;37;15366;33;15366;103;116;19781;95;115;18132
5800895;5878070;247;17279;37;15266;33;15266;99;112;19541;92;107;17892
5802783;5878070;241;16847;27;17736;24;17736;49;73;18145;59;78;20113
5802784;5878070;239;16728;28;17707;25;17707;48;73;18025;57;75;19994
5802785;5878070;243;17007;22;17212;20;17212;52;79;18304;62;78;20272
5802786;5878070;256;17890;24;17395;21;17395;79;96;22431;72;101;19131
5802787;5878070;252;17653;39;15443;34;15443;76;96;22194;68;96;18893
5802788;5878070;249;17455;39;15196;34;15196;73;96;21996;65;96;18696
5802789;5878070;249;17456;38;22843;33;22843;73;96;21997;65;96;18696
5802790;5878070;250;17524;37;22366;32;22366;57;75;21439;49;84;18139
5802791;5878070;243;17026;37;22639;33;22639;56;72;20797;48;84;17497
5802792;5878070;247;17262;38;22941;33;22941;59;75;21033;52;84;17733
5802793;5878070;238;16648;37;14633;32;14633;76;95;20891;68;90;17590
5802794;5878070;243;16984;37;14918;32;14918;81;96;21226;73;96;17926
5802795;5878070;243;16984;36;14919;32;14919;81;96;21227;73;96;17926
5802796;5878070;244;17098;38;15115;34;15115;82;100;21341;75;99;18040
5802797;5878070;249;17459;39;15436;35;15436;87;102;21702;80;101;18401
5802798;5878070;252;17634;40;15179;36;15179;90;107;21876;82;102;18576
5802799;5878070;242;16962;35;14679;31;14679;95;108;19224;87;103;17575
5802800;5878070;241;16883;36;14847;32;14847;94;106;19145;89;102;17496
5802801;5878070;246;17251;37;15206;33;15206;99;112;19513;92;106;17864
5804689;5878070;238;16681;26;17427;23;17427;47;71;17979;56;71;19947
5804690;5878070;236;16510;27;17419;24;17419;44;66;17808;53;68;19776
5804691;5878070;239;16711;27;17402;24;17402;52;79;18332;62;78;20301
5804692;5878070;241;16903;30;17842;27;17842;55;86;18525;65;83;20493
5804693;5878070;252;17654;41;15507;36;15507;76;96;22195;68;96;18894
5804694;5878070;246;17215;39;15113;34;15113;69;90;21756;62;90;18455
5804695;5878070;245;17141;37;22930;33;22930;68;88;21682;61;90;18381
5804696;5878070;241;16865;38;14653;33;14653;54;72;20662;46;84;17362
5804697;5878070;240;16796;38;22975;33;22975;53;66;20568;45;84;17267
5804698;5878070;247;17324;38;23043;33;23043;60;75;21096;53;84;17795
5804699;5878070;235;16426;36;14350;31;14350;73;95;20669;65;89;17368
5804700;5878070;234;16385;36;14289;32;14289;72;95;20627;65;89;17327
5804701;5878070;238;16635;38;14679;34;14679;76;95;20877;68;90;17577
5804702;5878070;239;16698;37;14497;33;14497;77;95;20941;69;90;17640
5804703;5878070;241;16848;36;14672;32;14672;79;96;21090;71;95;17790
5804704;5878070;243;16996;39;15071;34;15071;81;96;21239;73;96;17938
