from_id;to_id;walk_t;walk_d;car_r_t;car_r_d;car_m_t;car_m_d;pt_r_t;pt_r_tt;pt_r_d;pt_m_t;pt_m_tt;pt_m_d
5785640;5878087;350;24513;45;27882;40;27890;102;134;27566;114;145;30241
5785641;5878087;321;22438;45;28093;40;28100;109;130;30447;117;143;30447
5785642;5878087;322;22518;52;22575;46;22583;111;130;30564;119;144;30564
5785643;5878087;326;22811;48;23991;41;23992;115;140;30857;123;148;30857
5787544;5878087;343;24024;44;27456;39;27464;99;118;29751;98;121;27077
5787545;5878087;344;24093;47;27742;42;27750;100;118;29820;99;127;27146
5787546;5878087;347;24319;49;21601;43;21609;99;134;27372;102;133;27372
5787547;5878087;319;22324;48;21993;42;22000;116;138;30946;124;142;30946
5787548;5878087;316;22099;47;22114;41;22122;112;130;30673;120;138;30673
5787549;5878087;318;22233;49;22357;43;22365;116;138;30965;124;142;30965
5787550;5878087;287;20063;45;23790;39;23791;169;192;27592;172;180;27592
5789447;5878087;311;21798;40;25266;34;25274;59;76;26984;59;92;24310
5789448;5878087;311;21796;41;25631;35;25639;60;76;27005;59;92;24330
5789449;5878087;312;21856;41;26057;36;26065;61;76;27066;60;92;24391
5789450;5878087;347;24260;45;26376;39;26383;98;128;27313;101;130;27313
5789451;5878087;347;24298;47;27703;41;27711;99;134;27351;102;133;27351
5789452;5878087;311;21761;48;21501;42;21509;110;130;27540;119;133;31625
5789453;5878087;311;21797;46;21678;41;21685;111;130;27576;120;133;31662
5789454;5878087;313;21884;47;21941;41;21949;112;130;27663;121;134;31749
5789455;5878087;315;22060;48;22162;42;22170;115;134;27839;123;137;31925
5789456;5878087;284;19902;43;23700;37;23701;167;186;27431;170;180;27431
5791353;5878087;317;22158;38;24857;32;24864;65;86;27344;64;92;24670
5791354;5878087;313;21926;39;25448;33;25456;61;76;27112;60;92;24438
5791355;5878087;306;21449;39;25628;34;25636;56;72;26773;56;92;24099
5791356;5878087;307;21511;42;26254;37;26261;61;76;27121;61;92;24446
5791357;5878087;309;21598;45;26368;40;26375;64;86;27190;63;92;24515
5791358;5878087;309;21649;48;20995;42;21003;109;130;27428;118;130;31514
5791359;5878087;306;21452;46;21318;40;21326;106;130;27231;115;130;31316
5791360;5878087;307;21506;48;21687;42;21694;107;130;27285;116;130;31371
5791361;5878087;312;21859;49;22041;44;22049;112;130;27639;121;134;31724
5791362;5878087;317;22170;51;22349;45;22357;116;138;27950;124;142;27950
5791363;5878087;284;19897;45;23596;38;23597;166;186;27426;169;180;27426
5793258;5878087;322;22544;40;26121;35;26129;70;92;27730;69;98;25056
5793259;5878087;318;22244;41;25961;36;25969;66;86;27430;65;98;24755
5793260;5878087;318;22278;42;25925;36;25933;66;86;27464;65;98;24790
5793261;5878087;305;21322;40;25706;34;25713;60;76;26909;59;92;24234
5793262;5878087;303;21218;42;26131;37;26138;60;76;26907;59;92;24232
5793263;5878087;304;21265;47;27236;41;27244;65;86;26490;64;98;23815
5793264;5878087;303;21196;47;20939;41;20947;102;124;26975;101;122;24301
5793265;5878087;303;21237;46;21272;41;21280;103;129;27016;102;125;24341
5793266;5878087;304;21246;49;21469;43;21477;103;129;27025;102;125;24350
5793267;5878087;315;22020;53;22264;47;22272;114;134;27800;123;137;31885
5793268;5878087;320;22418;53;22490;47;22498;120;142;28197;128;144;28197
5793269;5878087;289;20198;49;21303;43;21310;165;186;27292;168;180;27292
5793270;5878087;286;20017;45;23704;39;23796;162;186;27111;165;178;27111
5795164;5878087;323;22619;41;26245;36;26253;71;96;27805;70;98;25130
5795165;5878087;324;22700;46;28021;40;28029;72;96;27887;71;103;25212
5795166;5878087;323;22631;47;27871;41;27878;71;96;27817;70;98;25142
5795167;5878087;300;20996;41;26256;35;26264;61;76;26208;60;92;23533
5795168;5878087;300;20997;43;26818;37;26826;61;76;26208;60;92;23534
5795169;5878087;301;21078;45;27040;40;27048;62;78;26303;61;92;23628
5795170;5878087;299;20926;45;20678;39;20686;98;116;26706;98;116;24031
5795171;5878087;298;20845;46;20979;40;20987;97;111;26624;96;116;23950
5795172;5878087;303;21180;49;21422;43;21429;102;124;26959;101;122;24284
5795173;5878087;306;21408;50;21512;44;21520;105;130;27188;104;128;24513
5795174;5878087;303;21218;47;21146;41;21154;103;124;26997;102;122;24323
5795175;5878087;302;21155;49;21283;43;21291;102;124;26935;101;122;24260
5795176;5878087;286;20054;43;23754;37;23846;162;186;27148;165;179;27148
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5878087;326;22818;42;26523;37;26531;74;98;28004;73;103;25329
5797071;5878087;328;22934;45;27923;39;27931;76;98;28120;75;103;25446
5797072;5878087;301;21088;44;27640;38;27648;62;78;26299;61;92;23624
5797073;5878087;297;20803;44;27725;38;27732;58;76;26014;57;92;23340
5797074;5878087;295;20685;42;26589;36;26597;57;72;25910;56;92;23235
5797075;5878087;298;20894;44;26922;38;26930;60;76;26118;59;92;23444
5797076;5878087;294;20610;46;20625;40;20633;94;109;26389;93;110;23714
5797077;5878087;296;20736;49;21058;43;21065;96;111;26515;95;114;23841
5797078;5878087;301;21070;51;21595;45;21603;100;116;26849;100;119;24174
5797079;5878087;300;20977;49;21431;43;21439;99;116;26756;98;117;24082
5797080;5878087;300;21022;45;20642;39;20650;100;116;26801;99;119;24126
5797081;5878087;300;21008;49;21262;43;21270;100;116;26787;99;117;24112
5797082;5878087;256;17912;43;23741;37;23833;111;130;23578;113;130;23578
5798974;5878087;315;22039;33;22667;29;22675;76;100;31532;75;97;31532
5798975;5878087;331;23178;42;26871;37;26878;79;98;28364;78;103;25689
5798976;5878087;331;23172;45;26758;39;26766;79;98;28358;78;103;25684
5798977;5878087;331;23179;46;27963;39;27971;79;98;28365;78;103;25690
5798978;5878087;295;20618;44;27435;38;27442;59;76;25838;59;92;23163
5798979;5878087;292;20441;44;27793;38;27801;57;72;25661;56;92;22986
5798980;5878087;292;20441;43;26953;37;26960;57;72;25661;56;92;22986
5798981;5878087;296;20713;45;27340;39;27348;61;76;25932;60;92;23258
5798982;5878087;292;20442;45;20486;39;20493;92;108;26221;91;109;23546
5798983;5878087;290;20316;47;20426;41;20434;90;108;26095;89;109;23421
5798984;5878087;290;20309;49;20417;43;20425;90;103;26088;89;109;23414
5798985;5878087;295;20674;45;20309;39;20317;95;110;26453;94;112;23778
5798986;5878087;293;20536;46;20575;40;20583;93;108;26315;92;110;23640
5798987;5878087;297;20792;48;21035;42;21042;97;111;26571;96;114;23896
5798988;5878087;250;17496;43;20269;37;24139;106;118;23162;108;121;23162
5800879;5878087;308;21543;33;22388;28;22396;58;85;23592;68;84;31036
5800880;5878087;312;21821;33;22663;28;22671;62;93;23870;72;91;31315
5800881;5878087;334;23382;31;22291;27;22299;82;98;28568;81;109;25894
5800882;5878087;293;20530;48;20542;42;20550;78;98;26607;77;103;23932
5800883;5878087;294;20565;48;20319;41;20327;79;98;26643;78;103;23968
5800884;5878087;293;20487;44;27251;38;27259;58;76;25730;57;92;23056
5800885;5878087;289;20223;43;26954;37;26962;55;70;25503;54;92;22829
5800886;5878087;287;20075;45;27245;39;27253;57;72;25647;56;92;22972
5800887;5878087;289;20195;45;27329;40;27337;61;76;25920;60;92;23245
5800888;5878087;281;19653;44;19602;38;19609;80;97;25432;79;100;22757
5800889;5878087;287;20057;45;20191;39;20198;86;103;25836;85;105;23161
5800890;5878087;288;20133;47;20103;41;20111;87;103;25912;86;106;23237
5800891;5878087;291;20344;44;19980;38;19988;90;108;26123;89;109;23448
5800892;5878087;290;20280;46;20455;40;20462;89;103;26060;88;109;23385
5800893;5878087;292;20442;48;20995;42;21003;92;108;26221;91;109;23546
5800894;5878087;249;17405;44;20276;38;24145;104;116;23071;106;122;23071
5800895;5878087;245;17166;44;20176;38;24046;101;112;22831;103;115;22831
5802783;5878087;306;21444;34;22385;29;22393;57;80;23493;67;84;30938
5802784;5878087;305;21325;35;22356;30;22363;55;80;23374;65;81;30818
5802785;5878087;309;21604;29;21861;25;21869;59;87;23653;69;84;31097
5802786;5878087;295;20667;31;22044;27;22051;80;98;26744;79;108;24070
5802787;5878087;292;20430;46;20353;40;20361;77;98;26507;76;103;23832
5802788;5878087;289;20232;46;20106;40;20114;74;98;26309;73;103;23634
5802789;5878087;289;20232;45;27492;39;27500;74;98;26310;73;103;23635
5802790;5878087;290;20301;44;27015;38;27022;58;76;25752;57;92;23078
5802791;5878087;283;19802;44;27288;38;27296;57;72;25110;56;92;22436
5802792;5878087;286;20039;44;27590;38;27598;60;76;25346;59;92;22672
5802793;5878087;277;19425;44;19543;38;19551;77;96;25204;76;97;22529
5802794;5878087;282;19760;44;19828;38;19836;82;98;25539;81;103;22865
5802795;5878087;282;19761;43;19829;37;19837;82;98;25540;81;103;22865
5802796;5878087;284;19874;45;20025;39;20033;83;102;25654;83;105;22979
5802797;5878087;289;20236;46;20346;40;20354;89;103;26015;88;107;23340
5802798;5878087;292;20410;47;20088;41;20096;91;108;26189;90;109;23515
5802799;5878087;247;17322;42;19589;36;19597;96;109;22514;98;110;22514
5802800;5878087;244;17072;43;19757;37;19765;95;107;22435;97;108;22435
5802801;5878087;242;16907;44;23614;38;23616;100;112;22803;102;114;22803
5804689;5878087;304;21279;33;22076;28;22084;54;79;23327;64;78;30772
5804690;5878087;302;21108;34;22068;30;22075;52;74;23156;62;75;30601
5804691;5878087;304;21308;33;22051;29;22059;59;85;23681;69;84;31126
5804692;5878087;307;21501;37;22491;32;22498;62;91;23873;72;91;31318
5804693;5878087;292;20430;48;20417;41;20424;77;98;26508;76;103;23833
5804694;5878087;286;19991;46;20023;40;20030;71;92;26069;70;98;23394
5804695;5878087;285;19917;44;27579;38;27587;70;90;25995;69;98;23320
5804696;5878087;281;19641;45;19563;38;19570;55;72;24975;54;92;22301
5804697;5878087;280;19573;44;27624;38;27632;54;66;24880;53;92;22206
5804698;5878087;287;20101;44;27692;38;27699;61;76;25408;60;92;22734
5804699;5878087;274;19203;43;19259;37;19267;74;96;24982;73;95;22307
5804700;5878087;274;19161;43;19199;37;19207;73;96;24940;72;95;22266
5804701;5878087;277;19411;45;19588;39;19596;77;96;25190;76;97;22516
5804702;5878087;278;19475;44;19407;38;19415;78;96;25254;77;97;22579
5804703;5878087;280;19624;43;19581;37;19589;80;97;25403;79;100;22729
5804704;5878087;282;19772;46;19980;40;19988;82;98;25552;81;103;22877
5804705;5878087;250;17496;42;19403;36;19411;93;103;22270;95;105;22270
5804706;5878087;249;17406;45;19692;39;19700;92;103;22231;94;105;22231
5804707;5878087;252;17630;47;20205;41;20213;96;109;22505;98;110;22505
