from_id;to_id;walk_t;walk_d;car_r_t;car_r_d;car_m_t;car_m_d;pt_r_t;pt_r_tt;pt_r_d;pt_m_t;pt_m_tt;pt_m_d
5785640;5902043;295;20668;39;22321;35;22321;90;121;21119;98;129;21119
5785641;5902043;258;18052;39;22532;35;22532;93;115;21325;101;127;21325
5785642;5902043;259;18131;47;22216;42;20440;95;115;21443;103;128;21443
5785643;5902043;263;18424;51;24773;46;22996;99;126;21736;107;132;21736
5787544;5902043;288;20179;38;21895;34;21895;83;103;20630;91;108;20630
5787545;5902043;289;20248;41;22182;37;22182;84;103;20699;92;113;20699
5787546;5902043;292;20474;44;21242;40;19466;88;121;20925;96;119;20925
5787547;5902043;256;17938;43;21634;38;19857;100;123;21824;108;130;21824
5787548;5902043;253;17712;42;21755;37;19978;97;115;21552;105;126;21552
5787549;5902043;255;17846;44;21998;39;20222;101;123;21844;109;130;21844
5787550;5902043;292;20429;48;24572;43;22795;163;181;20286;165;173;21119
5789447;5902043;249;17412;34;19706;29;19705;44;61;17863;52;83;17863
5789448;5902043;249;17409;35;20071;30;20070;44;61;17884;52;83;17884
5789449;5902043;250;17469;35;20496;31;20496;45;61;17944;53;83;17944
5789450;5902043;292;20415;39;20815;35;20815;87;114;20866;95;116;20866
5789451;5902043;292;20453;41;22142;36;22142;87;121;20905;95;119;20905
5789452;5902043;248;17374;43;21142;38;19365;95;115;18418;104;119;22504
5789453;5902043;249;17410;42;21319;37;19542;95;115;18455;104;119;22540
5789454;5902043;250;17497;42;21582;37;19806;97;115;18542;105;120;22627
5789455;5902043;252;17673;44;21803;39;20027;99;119;18718;108;123;22804
5789456;5902043;290;20268;46;24482;41;22705;160;175;20125;163;173;20958
5791353;5902043;254;17771;32;19296;28;19296;49;71;18223;57;83;18223
5791354;5902043;251;17539;33;19887;29;19887;46;61;17991;54;83;17991
5791355;5902043;244;17062;33;20068;29;20068;41;57;17652;49;83;17652
5791356;5902043;245;17124;36;20693;32;20693;46;61;18000;54;83;18000
5791357;5902043;246;17212;39;20807;35;20807;49;71;18068;57;83;18068
5791358;5902043;247;17262;43;20636;38;18860;93;115;18307;102;116;22393
5791359;5902043;244;17065;41;20959;36;19183;90;115;18110;99;116;22195
5791360;5902043;245;17119;43;21328;38;19551;91;115;18164;100;116;22249
5791361;5902043;250;17473;45;21682;40;19905;96;115;18517;105;120;22603
5791362;5902043;254;17784;46;21990;41;20214;101;123;18828;109;130;18828
5791363;5902043;289;20263;48;24378;43;22601;160;175;20120;163;173;20953
5793258;5902043;259;18157;34;20560;30;20560;55;77;18609;63;88;18609
5793259;5902043;255;17857;35;20400;31;20400;50;71;18309;58;88;18309
5793260;5902043;256;17892;36;20364;32;20364;51;71;18343;59;88;18343
5793261;5902043;242;16935;34;20145;29;20145;45;61;17788;53;83;17788
5793262;5902043;240;16831;36;20570;32;20570;45;61;17786;53;83;17786
5793263;5902043;241;16878;41;21676;37;21676;49;71;17369;57;88;17369
5793264;5902043;240;16809;43;20580;38;18804;87;109;17854;96;108;21940
5793265;5902043;241;16850;42;20913;37;19136;87;114;17894;96;111;21980
5793266;5902043;241;16859;44;21110;40;19333;87;114;17904;96;111;21989
5793267;5902043;252;17634;48;21905;43;20128;99;119;18678;107;123;22764
5793268;5902043;258;18031;48;22131;43;20355;104;127;19076;112;130;19076
5793269;5902043;288;20129;44;20944;39;19167;158;175;19985;161;171;20819
5793270;5902043;285;19948;47;23832;42;22056;156;175;19805;158;170;20638
5795164;5902043;260;18232;35;20684;31;20684;56;81;18684;64;88;18684
5795165;5902043;262;18314;40;22461;36;22460;57;81;18765;65;93;18765
5795166;5902043;261;18244;41;22310;36;22310;56;81;18695;64;88;18695
5795167;5902043;237;16610;35;20696;30;20695;45;61;17086;53;83;17086
5795168;5902043;237;16610;37;21257;32;21257;45;61;17087;53;83;17087
5795169;5902043;238;16691;39;21480;35;21479;47;63;17182;55;83;17182
5795170;5902043;236;16540;40;20319;35;18542;83;101;17584;92;103;21670
5795171;5902043;235;16458;41;20620;37;18844;82;96;17503;91;103;21589
5795172;5902043;240;16793;44;21063;39;19286;87;109;17838;95;108;21923
5795173;5902043;243;17022;45;21153;40;19377;90;115;18066;99;115;22152
5795174;5902043;240;16831;43;20787;38;19011;87;109;17876;96;108;21962
5795175;5902043;240;16768;44;20924;39;19147;86;109;17813;95;108;21899
5795176;5902043;285;19985;40;20448;35;18671;156;175;19841;159;171;20675
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5902043;263;18431;36;20963;32;20963;58;83;18882;66;93;18882
5797071;5902043;265;18548;39;22363;34;22363;60;83;18999;68;93;18999
5797072;5902043;239;16701;38;22079;34;22079;47;63;17178;55;83;17178
5797073;5902043;235;16416;38;22164;33;22164;43;61;16893;51;83;16893
5797074;5902043;233;16298;36;21028;31;21028;41;57;16788;49;83;16788
5797075;5902043;236;16507;38;21361;33;21361;44;61;16997;52;83;16997
5797076;5902043;232;16223;41;20266;36;18490;78;94;17268;86;101;17268
5797077;5902043;234;16349;44;20699;40;18922;80;96;17394;89;103;21480
5797078;5902043;238;16683;46;21236;41;19459;85;101;17728;94;105;21813
5797079;5902043;237;16590;44;21072;39;19296;84;101;17635;92;104;21720
5797080;5902043;238;16635;40;20283;35;18506;84;101;17680;93;105;21765
5797081;5902043;237;16621;44;20903;39;19127;84;101;17666;93;104;21751
5797082;5902043;234;16415;40;20435;35;18658;100;115;17105;108;125;17105
5798974;5902043;225;15735;27;17106;24;17106;56;83;16107;48;72;16046
5798975;5902043;268;18791;36;21310;32;21310;64;83;19242;72;93;19242
5798976;5902043;268;18785;39;21198;34;21197;64;83;19237;72;93;19237
5798977;5902043;268;18792;40;22403;35;22403;64;83;19244;72;93;19244
5798978;5902043;232;16231;38;21874;33;21874;44;61;16716;52;83;16716
5798979;5902043;229;16054;38;22232;34;22232;41;57;16539;49;83;16539
5798980;5902043;229;16054;37;21392;32;21392;41;57;16540;49;83;16540
5798981;5902043;233;16326;39;21780;34;21780;45;61;16811;53;83;16811
5798982;5902043;229;16055;40;20127;35;18350;76;93;17100;84;98;17100
5798983;5902043;228;15929;42;20067;37;18290;74;93;16974;82;98;16974
5798984;5902043;227;15922;44;20058;39;18282;74;88;16967;82;98;16967
5798985;5902043;233;16287;41;19950;36;18174;79;95;17332;87;101;17332
5798986;5902043;231;16149;41;20216;36;18440;77;93;17194;85;101;17194
5798987;5902043;234;16405;43;20676;39;18899;81;96;17450;90;103;21535
5798988;5902043;229;15999;39;19910;34;18134;94;107;16689;102;115;16689
5800879;5902043;218;15239;27;16827;23;16827;44;68;15550;41;58;15550
5800880;5902043;222;15518;27;17103;24;17102;48;75;15829;45;65;15829
5800881;5902043;271;18996;25;16763;22;17013;67;83;19447;75;98;19447
5800882;5902043;231;16143;43;23905;38;23905;63;83;17486;71;93;17486
5800883;5902043;231;16179;42;23682;37;23682;63;83;17522;71;93;17522
5800884;5902043;230;16100;38;21691;33;21690;42;61;16609;50;83;16609
5800885;5902043;226;15836;37;21393;32;21393;39;55;16382;47;83;16382
5800886;5902043;224;15688;39;21684;35;21684;41;57;16525;49;83;16525
5800887;5902043;226;15808;39;21769;35;21769;45;61;16799;53;83;16799
5800888;5902043;218;15266;39;19243;35;17466;65;82;16311;73;89;16311
5800889;5902043;224;15670;40;19832;35;18055;70;88;16714;78;94;16714
5800890;5902043;225;15746;42;19744;37;17968;72;88;16790;80;94;16790
5800891;5902043;228;15957;39;19621;34;17845;75;93;17002;83;98;17002
5800892;5902043;227;15893;41;20096;36;18319;74;88;16938;82;98;16938
5800893;5902043;229;16055;43;20636;38;18860;76;93;17100;84;98;17100
5800894;5902043;227;15908;39;19917;34;18140;92;103;16598;100;115;16598
5800895;5902043;224;15669;39;19817;35;18040;89;100;16359;97;112;16359
5802783;5902043;216;15141;28;16824;24;16824;43;63;15452;40;58;15452
5802784;5902043;215;15021;29;16795;26;16795;41;63;15333;38;55;15333
5802785;5902043;219;15300;23;16301;20;16301;45;69;15611;42;58;15611
5802786;5902043;233;16280;25;16515;22;16766;65;83;17623;73;97;17623
5802787;5902043;229;16043;41;23716;36;23716;61;83;17386;69;93;17386
5802788;5902043;226;15845;41;23469;36;23469;59;83;17188;67;93;17188
5802789;5902043;226;15845;39;21932;34;21931;59;83;17188;67;93;17188
5802790;5902043;227;15914;38;21454;33;21454;43;61;16631;51;83;16631
5802791;5902043;220;15416;38;21727;33;21727;41;57;15989;49;83;15989
5802792;5902043;224;15652;38;22030;34;22030;45;61;16225;53;83;16225
5802793;5902043;215;15038;39;19184;34;17407;61;81;16083;69;88;16083
5802794;5902043;220;15373;39;19469;34;17692;66;83;16418;74;93;16418
5802795;5902043;220;15374;39;19470;34;17693;66;83;16418;74;93;16418
5802796;5902043;221;15488;40;19666;35;17889;68;87;16532;76;94;16532
5802797;5902043;226;15849;41;19987;36;18210;73;88;16894;81;95;16894
5802798;5902043;229;16023;42;19729;38;17953;76;93;17068;84;98;17068
5802799;5902043;219;15351;37;19230;33;17453;85;96;16042;93;102;16042
5802800;5902043;218;15272;38;19398;33;17621;83;95;15962;91;100;15962
5802801;5902043;223;15640;39;19757;35;17980;89;100;16331;97;109;16331
5804689;5902043;214;14975;27;16516;24;16515;40;62;15286;37;52;15286
5804690;5902043;211;14804;28;16507;25;16507;38;57;15115;35;49;15115
5804691;5902043;214;15005;27;16491;24;16491;45;68;15640;42;58;15640
5804692;5902043;217;15197;31;16930;27;16930;48;74;15832;45;65;15832
5804693;5902043;229;16044;42;23780;37;23780;61;83;17387;69;93;17387
5804694;5902043;223;15604;41;23386;36;23386;55;77;16948;63;88;16948
5804695;5902043;222;15530;38;22018;33;22018;54;75;16873;62;88;16873
5804696;5902043;218;15254;39;22467;34;22467;40;57;15854;48;83;15854
5804697;5902043;217;15186;38;22063;33;22063;38;51;15759;46;83;15759
5804698;5902043;224;15714;38;22131;33;22131;46;61;16287;54;83;16287
5804699;5902043;212;14816;38;18900;33;17124;58;81;15861;66;85;15861
5804700;5902043;211;14774;38;18840;33;17063;58;81;15819;66;85;15819
5804701;5902043;215;15024;40;19229;35;17453;61;81;16069;69;88;16069
5804702;5902043;216;15088;39;19048;34;17271;62;81;16133;70;88;16133
5804703;5902043;218;15237;38;19222;34;17446;64;82;16282;72;89;16282
5804704;5902043;220;15386;41;19621;36;17845;66;83;16430;74;93;16430
5804705;5902043;216;15107;37;19044;33;17268;81;91;15797;89;100;15797
5804706;5902043;215;15068;40;19333;36;17557;80;91;15758;88;100;15758
5804707;5902043;219;15342;42;19846;37;18070;84;96;16032;92;102;16032
5806593;5902043;214;14990;27;16613;24;16612;40;55;15301;37;52;15301
5806594;5902043;209;14620;27;16265;23;16265;35;54;14931;32;46;14931
5806595;5902043;208;14586;26;16147;23;16147;35;56;14898;32;46;14898
5806596;5902043;211;14771;24;15874;21;15874;42;63;15406;39;58;15406
5806597;5902043;216;15146;28;16783;25;16783;47;71;15781;44;65;15781
5806598;5902043;221;15456;28;17015;25;17015;57;81;16152;49;72;16092
5806599;5902043;221;15441;40;23137;35;23136;53;71;16784;61;88;16784
5806600;5902043;217;15213;41;22994;36;22993;50;71;16556;58;87;16556
5806601;5902043;214;15014;39;22389;34;22388;41;57;15966;49;83;15966
5806602;5902043;219;15296;39;22201;34;22201;40;57;15896;48;83;15896
5806603;5902043;221;15445;40;18846;35;17069;42;61;16044;50;83;16044
5806604;5902043;212;14812;38;18783;33;17006;58;81;15856;66;85;15856
5806605;5902043;207;14498;39;18646;34;16869;54;74;15543;62;84;15543
5806606;5902043;210;14686;38;18706;33;16930;56;80;15730;64;85;15730
5806607;5902043;212;14868;40;19069;35;17292;59;81;15913;67;88;15913
5806608;5902043;217;15189;41;19413;37;17636;64;82;16233;72;88;16233
5806609;5902043;222;15509;41;19594;36;17817;68;87;16554;76;94;16554
5806610;5902043;211;14752;37;18781;33;17004;76;89;15442;84;99;15442
5806611;5902043;213;14912;40;19186;36;17409;78;89;15602;86;99;15602
5806612;5902043;217;15158;42;19336;38;17559;82;91;15848;90;100;15848
5806613;5902043;240;16774;42;20635;37;18858;105;120;17465;113;127;17465
5808496;5902043;215;15046;28;16543;24;16542;45;57;15646;42;55;15646
5808497;5902043;219;15316;29;16991;25;16991;45;62;15628;42;58;15628
5808498;5902043;217;15213;28;16781;25;16781;44;64;15524;41;58;15524
5808499;5902043;205;14372;26;16006;23;16005;36;56;15007;33;49;15007
5808500;5902043;209;14662;23;15611;20;15861;40;62;15297;37;52;15297
5808501;5902043;221;15497;28;17093;25;17093;58;83;16193;49;72;16132
5808502;5902043;222;15509;30;17291;27;17291;58;83;16205;49;72;16144
5808503;5902043;222;15539;43;23265;38;23265;54;77;16882;62;88;16882
5808504;5902043;218;15227;40;22885;35;22885;50;71;16570;58;87;16570
5808505;5902043;212;14847;39;22564;34;22564;44;61;16190;52;83;16190
5808506;5902043;211;14761;39;22704;34;17039;44;61;16178;52;83;16178
5808507;5902043;208;14543;38;18619;33;16843;52;70;15396;60;84;15396
5808508;5902043;205;14358;37;18321;32;16544;49;70;15211;57;82;15211
5808509;5902043;204;14302;37;18396;32;16619;51;70;15346;59;82;15346
