from_id;to_id;walk_t;walk_d;car_r_t;car_r_d;car_m_t;car_m_d;pt_r_t;pt_r_tt;pt_r_d;pt_m_t;pt_m_tt;pt_m_d
5785640;5944003;494;34582;50;36229;44;36229;132;157;38465;142;173;38465
5785641;5944003;457;31966;51;36439;45;36439;135;154;38671;145;171;38671
5785642;5944003;458;32046;58;35841;52;34064;137;154;38789;147;172;38789
5785643;5944003;462;32338;57;37723;50;37935;141;163;39082;151;176;39082
5787544;5944003;487;34093;50;35803;44;35803;125;142;37976;122;148;37786
5787545;5944003;488;34162;52;36089;46;36089;126;142;38044;123;155;37855
5787546;5944003;491;34388;55;34867;49;33091;129;157;38270;126;160;38081
5787547;5944003;455;31852;54;35258;48;33482;142;162;39170;152;171;39170
5787548;5944003;452;31627;53;35380;47;33603;138;154;38897;148;168;38897
5787549;5944003;454;31761;55;35623;49;33846;143;162;39190;153;171;39190
5787550;5944003;442;30974;54;37522;47;37734;202;221;37631;199;212;38301
5789447;5944003;448;31326;45;33613;39;33613;84;100;35209;83;117;35019
5789448;5944003;447;31323;46;33978;40;33978;84;100;35229;83;117;35039
5789449;5944003;448;31384;47;34404;41;34404;85;100;35290;84;117;35100
5789450;5944003;490;34329;50;34722;44;34722;129;151;38212;126;157;38022
5789451;5944003;491;34368;52;36050;46;36050;129;157;38250;126;160;38060
5789452;5944003;447;31288;54;34766;48;32990;137;154;35764;147;162;39850
5789453;5944003;447;31325;53;34943;46;33167;137;154;35800;147;162;39886
5789454;5944003;449;31412;53;35207;47;33431;140;154;40388;148;163;39973
5789455;5944003;451;31588;54;35428;48;33651;141;157;36064;151;166;40149
5789456;5944003;440;30814;52;37432;45;37644;200;215;37470;197;212;38140
5791353;5944003;453;31686;43;33203;37;33203;92;110;35568;88;117;35379
5791354;5944003;449;31454;44;33795;38;33795;86;100;35336;85;117;35147
5791355;5944003;443;30977;45;33975;39;33975;81;96;34997;80;117;34808
5791356;5944003;443;31039;48;34600;42;34600;86;100;35345;85;117;35156
5791357;5944003;445;31126;51;34714;45;34714;91;110;35414;87;117;35224
5791358;5944003;445;31177;54;34261;47;32484;135;154;35653;145;158;39738
5791359;5944003;443;30979;52;34584;46;32808;132;154;35455;142;158;39541
5791360;5944003;443;31034;54;34952;48;33176;133;154;35509;143;158;39595
5791361;5944003;448;31387;56;35306;49;33530;138;154;35863;148;163;39948
5791362;5944003;453;31698;57;35615;51;33838;143;162;36174;153;171;36174
5791363;5944003;440;30809;54;37328;47;37539;200;215;37465;197;212;38135
5793258;5944003;458;32072;45;34468;39;34468;97;116;35954;93;123;35765
5793259;5944003;454;31772;46;34308;41;34308;93;110;35654;89;123;35464
5793260;5944003;454;31806;47;34272;41;34272;94;110;35689;90;123;35499
5793261;5944003;441;30850;45;34052;39;34052;84;100;35133;83;117;34943
5793262;5944003;439;30745;47;34477;41;34477;84;100;35131;83;117;34942
5793263;5944003;440;30793;52;35583;46;35583;92;110;34714;88;123;34524
5793264;5944003;439;30724;53;34205;47;32428;129;147;35200;126;149;35010
5793265;5944003;439;30764;53;34537;46;32761;129;153;35240;126;152;35050
5793266;5944003;440;30773;55;34734;49;32958;129;153;35249;126;152;35059
5793267;5944003;451;31548;59;35529;53;33753;140;157;36024;150;166;40109
5793268;5944003;456;31945;59;35756;53;33979;146;165;36421;156;173;36421
5793269;5944003;444;31110;55;34568;49;32792;198;215;37331;192;208;38001
5793270;5944003;442;30929;54;37436;47;37738;196;215;37150;189;204;37820
5795164;5944003;459;32147;46;34592;41;34592;98;119;36029;94;123;35840
5795165;5944003;460;32228;52;36368;45;36368;100;119;36111;96;129;35921
5795166;5944003;459;32158;52;36217;45;36217;99;119;36041;95;123;35851
5795167;5944003;436;30524;46;34603;40;34603;85;100;34432;84;117;34242
5795168;5944003;436;30525;48;35165;42;35165;85;100;34433;84;117;34243
5795169;5944003;437;30606;51;35387;44;35387;87;103;34527;86;117;34337
5795170;5944003;435;30454;51;33944;45;32167;125;139;34930;122;143;34740
5795171;5944003;434;30373;52;34245;46;32468;124;135;34849;121;143;34659
5795172;5944003;439;30708;55;34687;48;32911;128;147;35183;125;149;34994
5795173;5944003;442;30936;56;34778;50;33001;132;154;35412;129;156;35222
5795174;5944003;439;30746;53;34412;47;32635;129;147;35221;126;149;35032
5795175;5944003;438;30683;55;34549;49;32772;128;147;35159;125;149;34969
5795176;5944003;442;30965;51;34072;45;32296;196;215;37187;190;206;37857
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5944003;462;32345;47;34870;41;34870;101;121;36228;97;129;36038
5797071;5944003;464;32462;50;36270;44;36270;103;121;36345;99;129;36155
5797072;5944003;437;30615;50;35987;43;35987;87;103;34523;86;117;34334
5797073;5944003;433;30330;49;36071;43;36071;82;100;34238;81;117;34049
5797074;5944003;432;30213;47;34936;41;34936;81;96;34134;80;117;33944
5797075;5944003;435;30421;49;35268;43;35268;84;100;34342;83;117;34153
5797076;5944003;431;30137;52;33891;45;32114;121;132;34613;117;138;34423
5797077;5944003;432;30264;55;34323;49;32547;122;135;34740;119;142;34550
5797078;5944003;437;30598;57;34860;51;33084;127;139;35073;124;146;34884
5797079;5944003;436;30505;55;34697;49;32920;125;139;34980;122;144;34791
5797080;5944003;436;30549;51;33908;45;32131;126;139;35025;123;146;34835
5797081;5944003;436;30536;55;34528;48;32751;126;139;35011;123;144;34822
5797082;5944003;412;28823;50;34059;44;32283;142;154;34450;139;159;34287
5798974;5944003;425;29732;39;31014;33;31014;77;109;30297;77;100;30297
5798975;5944003;467;32705;48;35217;42;35217;106;121;36588;102;129;36398
5798976;5944003;467;32700;50;35105;44;35105;106;121;36582;102;129;36393
5798977;5944003;467;32707;51;36310;44;36310;106;121;36589;102;129;36400
5798978;5944003;431;30146;49;35781;43;35781;84;100;34062;83;117;33872
5798979;5944003;428;29969;49;36139;43;36139;81;96;33885;80;117;33695
5798980;5944003;428;29969;48;35299;42;35299;81;96;33885;80;117;33695
5798981;5944003;432;30240;50;35687;44;35687;85;100;34157;84;117;33967
5798982;5944003;428;29969;51;33751;45;31975;119;131;34445;115;136;34255
5798983;5944003;426;29844;53;33691;47;31915;117;131;34320;113;136;34130
5798984;5944003;426;29837;55;33683;49;31906;117;126;34312;113;136;34123
5798985;5944003;431;30202;52;33575;45;31798;122;133;34677;118;139;34488
5798986;5944003;429;30064;52;33841;46;32064;120;131;34539;116;138;34350
5798987;5944003;433;30320;54;34300;48;32524;123;135;34795;120;142;34606
5798988;5944003;406;28408;50;33535;44;31758;136;145;34035;133;150;33871
5800879;5944003;418;29236;38;30735;33;30735;64;88;29801;70;86;29801
5800880;5944003;422;29515;38;31010;33;31010;68;94;30080;74;93;30080
5800881;5944003;470;32910;36;30638;32;30638;109;121;36792;105;136;36603
5800882;5944003;429;30057;54;37812;48;37812;106;121;34831;102;129;34642
5800883;5944003;430;30093;53;37589;47;37589;106;121;34867;102;129;34677
5800884;5944003;429;30014;49;35598;42;35598;82;100;33954;81;117;33765
5800885;5944003;425;29750;48;35301;42;35301;79;93;33727;78;117;33538
5800886;5944003;423;29602;50;35592;44;35592;81;96;33871;80;117;33681
