from_id;to_id;walk_t;walk_d;car_r_t;car_r_d;car_m_t;car_m_d;pt_r_t;pt_r_tt;pt_r_d;pt_m_t;pt_m_tt;pt_m_d
5785640;5978593;490;34268;56;41625;49;41625;141;166;44625;149;176;44624
5785641;5978593;469;32858;56;41836;49;41836;143;164;44831;151;176;44830
5785642;5978593;471;32937;64;41238;56;39461;145;164;44948;153;178;44947
5785643;5978593;475;33230;67;43794;60;42018;149;174;45242;157;182;45240
5787544;5978593;483;33778;55;41200;48;41200;134;150;44136;142;158;44134
5787545;5978593;484;33847;58;41486;51;41486;135;150;44204;143;162;44203
5787546;5978593;487;34073;61;40264;53;38487;138;166;44430;146;168;44429
5787547;5978593;468;32744;60;40655;52;38879;151;172;45330;159;179;45329
5787548;5978593;465;32518;59;40776;51;39000;147;165;45057;155;175;45056
5787549;5978593;466;32652;60;41019;53;39243;151;172;45350;159;179;45348
5787550;5978593;503;35235;64;43593;57;41817;214;232;44622;214;222;44504
5789447;5978593;450;31504;50;39010;43;39010;89;112;41370;102;129;41368
5789448;5978593;454;31784;51;39375;44;39375;89;112;41391;102;129;41388
5789449;5978593;459;32132;52;39800;45;39800;90;112;41451;103;131;41449
5789450;5978593;486;34015;56;40119;49;40119;137;160;44372;145;165;44371
5789451;5978593;486;34053;58;41447;50;41447;137;166;44410;145;168;44409
5789452;5978593;460;32180;60;40163;52;38387;145;165;41924;152;168;46012
5789453;5978593;460;32216;58;40340;51;38563;145;165;41960;152;168;46048
5789454;5978593;461;32303;59;40604;51;38827;147;165;42047;154;169;46135
5789455;5978593;464;32479;60;40825;53;39048;149;169;42223;156;172;46311
5789456;5978593;501;35074;63;43503;55;41727;212;226;44461;212;222;44343
5791353;5978593;458;32050;48;38600;42;38600;99;123;41728;107;131;41727
5791354;5978593;455;31818;49;39191;43;39191;91;112;41498;104;129;41495
5791355;5978593;455;31847;50;39372;43;39372;86;107;41159;99;129;41156
5791356;5978593;456;31930;53;39997;46;39997;91;112;41507;104;131;41504
5791357;5978593;457;32018;56;40111;49;40111;99;123;41574;107;132;41572
5791358;5978593;458;32068;59;39658;52;37881;143;165;41813;150;165;45901
5791359;5978593;455;31871;58;39981;50;38204;141;165;41615;147;165;45703
5791360;5978593;456;31925;60;40349;52;38572;141;165;41669;148;165;45757
5791361;5978593;461;32278;61;40703;54;38927;146;165;42023;153;169;46111
5791362;5978593;466;32590;63;41011;55;39235;151;174;42334;159;179;42333
5791363;5978593;501;35069;64;43399;57;41623;212;226;44456;212;222;44338
5793258;5978593;463;32436;51;39864;44;39864;105;127;42114;113;137;42113
5793259;5978593;459;32135;52;39705;45;39705;100;123;41814;108;135;41813
5793260;5978593;460;32170;53;39668;46;39668;101;123;41848;109;135;41847
5793261;5978593;453;31741;50;39449;43;39449;90;112;41295;103;131;41292
5793262;5978593;452;31637;53;39874;46;39874;90;112;41293;103;131;41290
5793263;5978593;453;31684;58;40980;51;40980;100;123;40874;108;140;40873
5793264;5978593;452;31615;59;39602;52;37825;137;160;41360;144;158;45447
5793265;5978593;452;31656;58;39934;51;38158;137;165;41400;144;161;45488
5793266;5978593;452;31665;61;40131;54;38355;138;165;41409;144;161;45497
5793267;5978593;463;32439;65;40926;57;39150;149;168;42184;156;172;46272
5793268;5978593;469;32837;65;41153;57;39376;154;178;42581;162;179;42580
5793269;5978593;499;34935;61;39965;53;38188;210;226;44322;210;220;44204
5793270;5978593;496;34754;63;42854;56;41077;207;226;44141;207;218;44023
5795164;5978593;464;32510;52;39988;45;39988;106;131;42189;114;137;42188
5795165;5978593;466;32592;57;41765;50;41765;107;133;42271;115;142;42270
5795166;5978593;465;32522;57;41614;50;41614;106;131;42201;114;137;42200
5795167;5978593;449;31416;52;40000;45;40000;91;112;40594;104;132;40591
5795168;5978593;449;31416;54;40561;46;40561;91;112;40594;104;132;40592
5795169;5978593;450;31497;56;40784;49;40784;92;114;40689;105;135;40686
5795170;5978593;448;31346;57;39340;49;37564;133;151;41090;140;153;45178
5795171;5978593;447;31264;58;39641;51;37865;132;147;41009;139;153;45096
5795172;5978593;451;31599;60;40084;53;38307;137;160;41343;144;158;45431
5795173;5978593;455;31828;62;40175;54;38398;140;165;41572;147;165;45660
5795174;5978593;452;31637;59;39809;52;38032;137;160;41381;144;158;45469
5795175;5978593;451;31574;61;39945;53;38169;136;160;41319;143;158;45407
5795176;5978593;497;34790;56;39469;49;37693;208;226;44177;208;219;44059
5797069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5797070;5978593;467;32709;53;40267;46;40267;109;134;42388;117;143;42386
5797071;5978593;469;32826;56;41667;48;41667;110;134;42505;118;145;42504
5797072;5978593;450;31507;55;41383;48;41383;92;114;40685;105;135;40682
5797073;5978593;446;31222;55;41468;47;41468;88;112;40400;101;134;40397
5797074;5978593;444;31104;52;40333;45;40333;86;107;40296;99;135;40293
5797075;5978593;447;31313;54;40665;47;40665;89;112;40504;102;135;40501
5797076;5978593;443;31029;57;39288;50;37511;129;145;40773;137;151;40772
5797077;5978593;445;31155;61;39720;53;37943;130;147;40900;137;153;44988
5797078;5978593;450;31489;63;40257;55;38481;135;151;41233;142;155;45321
5797079;5978593;449;31396;60;40094;53;38317;134;151;41140;141;155;45228
5797080;5978593;449;31441;56;39304;49;37528;134;151;41185;141;155;45273
5797081;5978593;449;31427;60;39924;53;38148;134;151;41171;141;155;45259
5797082;5978593;446;31221;56;39456;49;37680;150;166;40610;158;172;40609
5798974;5978593;417;29167;44;36410;38;36410;91;117;37750;78;104;32463
5798975;5978593;472;33069;53;40614;46;40614;114;134;42748;122;145;42747
5798976;5978593;472;33064;55;40502;48;40502;114;134;42742;122;145;42741
5798977;5978593;472;33070;56;41707;49;41707;114;134;42749;122;145;42748
5798978;5978593;443;31037;55;41178;47;41178;89;112;40223;102;135;40220
5798979;5978593;441;30860;55;41536;48;41536;86;107;40047;99;135;40044
5798980;5978593;441;30860;54;40696;46;40696;86;107;40047;99;135;40044
5798981;5978593;445;31132;56;41084;48;41084;90;112;40318;103;135;40316
5798982;5978593;441;30861;56;39148;49;37372;126;144;40605;133;149;44693
5798983;5978593;439;30735;59;39088;51;37312;124;144;40480;131;149;44567
5798984;5978593;439;30728;60;39080;53;37303;124;139;40472;131;149;44560
5798985;5978593;444;31093;57;38972;50;37195;129;146;40837;137;151;40836
5798986;5978593;442;30955;57;39238;50;37461;127;144;40699;135;151;40698
5798987;5978593;446;31211;60;39697;53;37921;131;147;40955;138;153;45043
5798988;5978593;440;30805;55;38932;48;37155;144;158;40194;152;162;40194
5800879;5978593;410;28671;44;36131;37;36131;83;102;37254;71;89;31966
5800880;5978593;414;28950;44;36407;38;36407;87;108;37533;75;96;32245
5800881;5978593;475;33274;42;36035;36;36035;117;134;42952;125;149;42951
5800882;5978593;442;30949;60;43209;52;43209;113;134;40991;121;145;40990
5800883;5978593;443;30984;59;42986;51;42986;113;134;41027;121;145;41026
5800884;5978593;442;30906;54;40995;47;40995;87;112;40116;100;135;40113
5800885;5978593;438;30642;53;40697;46;40697;84;105;39889;97;135;39886
5800886;5978593;436;30494;56;40988;49;40988;86;107;40032;99;135;40030
5800887;5978593;437;30614;56;41073;49;41073;90;112;40306;103;135;40303
5800888;5978593;430;30072;56;38264;49;36488;115;134;39816;122;140;43904
5800889;5978593;435;30476;57;38853;49;37077;121;139;40220;127;144;44308
5800890;5978593;436;30552;59;38766;51;36989;122;139;40296;129;144;44384
5800891;5978593;439;30763;55;38643;48;36866;125;144;40507;132;149;44595
5800892;5978593;439;30699;58;39117;50;37340;124;139;40444;131;149;44532
5800893;5978593;441;30861;59;39658;52;37881;126;144;40605;133;149;44693
5800894;5978593;439;30714;55;38938;48;37161;143;154;40104;151;162;40103
5800895;5978593;435;30474;56;38838;49;37062;139;151;39864;147;160;39863
5802783;5978593;408;28573;45;36128;38;36128;82;99;37156;69;89;31868
5802784;5978593;406;28453;46;36099;40;36099;80;99;37037;67;86;31749
5802785;5978593;410;28732;40;35605;34;35605;84;102;37315;71;89;32028
5802786;5978593;444;31086;41;35787;36;35787;115;134;41128;123;148;41127
5802787;5978593;441;30849;58;43020;50;43020;112;134;40891;120;145;40890
5802788;5978593;438;30651;58;42773;50;42773;109;134;40693;117;145;40692
5802789;5978593;438;30651;55;41236;48;41236;109;134;40694;117;145;40693
5802790;5978593;439;30720;54;40758;47;40758;88;112;40138;101;135;40136
5802791;5978593;432;30221;55;41031;47;41031;87;107;39496;100;135;39493
5802792;5978593;435;30458;55;41334;48;41334;90;112;39732;103;135;39730
5802793;5978593;426;29844;55;38205;48;36429;112;133;39588;118;139;43676
5802794;5978593;431;30179;55;38490;48;36714;116;134;39924;123;144;44011
5802795;5978593;431;30180;55;38491;48;36715;116;134;39924;123;144;44012
5802796;5978593;433;30294;56;38687;49;36911;118;138;40038;125;144;44126
5802797;5978593;438;30655;58;39008;50;37232;123;139;40399;130;146;44487
5802798;5978593;440;30829;59;38751;51;36974;126;144;40573;133;149;44661
5802799;5978593;431;30157;54;38251;47;36475;135;147;39547;143;151;39546
5802800;5978593;430;30078;54;38419;47;36643;134;146;39468;142;149;39467
5802801;5978593;435;30446;56;38778;49;37002;139;151;39836;147;157;39835
5804689;5978593;406;28407;44;35820;38;35820;80;97;36990;67;84;31702
5804690;5978593;403;28236;45;35811;39;35811;77;93;36819;64;80;31531
5804691;5978593;406;28437;44;35795;38;35795;85;102;37344;72;89;32056
5804692;5978593;409;28629;47;36234;41;36234;87;108;37536;75;96;32248
5804693;5978593;441;30850;59;43084;51;43084;112;134;40892;120;145;40891
5804694;5978593;434;30410;57;42690;50;42690;105;129;40453;113;140;40452
5804695;5978593;433;30336;55;41323;47;41323;104;127;40379;112;140;40378
5804696;5978593;429;30060;55;41772;48;41772;85;107;39361;98;135;39358
5804697;5978593;428;29992;55;41367;47;41367;83;101;39266;96;135;39264
5804698;5978593;436;30520;55;41435;48;41435;91;112;39794;104;135;39792
5804699;5978593;423;29622;54;37921;47;36145;108;133;39366;115;136;43454
5804700;5978593;423;29580;55;37861;47;36085;108;133;39324;115;136;43412
5804701;5978593;426;29830;57;38251;49;36474;111;133;39574;118;139;43662
5804702;5978593;427;29894;56;38069;48;36293;112;133;39638;119;139;43726
5804703;5978593;429;30043;55;38244;48;36467;114;134;39788;121;140;43875
5804704;5978593;431;30191;57;38643;50;36866;117;134;39936;123;144;44024
5804705;5978593;427;29913;53;38065;46;36289;131;142;39303;139;149;39302
5804706;5978593;427;29874;57;38355;50;36578;131;142;39264;139;149;39262
5804707;5978593;431;30148;58;38868;51;37091;135;147;39538;143;151;39536
5806593;5978593;406;28422;44;35917;38;35917;80;92;37005;67;84;31717
5806594;5978593;401;28052;43;35569;37;35569;75;91;36635;62;78;31347
5806595;5978593;400;28018;43;35451;37;35451;74;93;36602;61;78;31314
5806596;5978593;403;28203;40;35178;35;35178;81;99;37110;69;89;31822
5806597;5978593;408;28578;45;36087;39;36087;87;106;37485;74;96;32197
5806598;5978593;413;28888;45;36320;39;36320;91;115;37796;78;104;32508
5806599;5978593;432;30247;57;42441;49;42441;103;123;40289;111;140;40288
5806600;5978593;429;30019;57;42298;50;42298;100;123;40062;108;138;40061
5806601;5978593;426;29820;55;41693;48;41693;86;107;39474;99;135;39471
5806602;5978593;430;30102;56;41506;48;41506;85;107;39403;98;135;39400
5806603;5978593;432;30251;56;37867;49;36090;87;112;39552;100;135;39549
5806604;5978593;423;29617;54;37804;47;36028;108;133;39362;115;136;43450
5806605;5978593;419;29304;55;37667;48;35890;104;126;39049;111;136;43136
5806606;5978593;421;29492;55;37728;47;35951;107;132;39236;113;136;43324
5806607;5978593;424;29674;56;38090;49;36313;109;133;39418;116;139;43506
5806608;5978593;428;29995;58;38434;51;36658;114;134;39739;121;139;43827
5806609;5978593;433;30315;57;38615;50;36839;118;138;40059;125;144;44147
5806610;5978593;422;29558;54;37802;47;36026;126;141;38948;134;149;38947
5806611;5978593;425;29718;57;38207;50;36431;128;141;39108;136;149;39106
5806612;5978593;428;29964;59;38357;52;36581;132;142;39354;140;149;39353
5806613;5978593;451;31580;58;39656;51;37880;155;171;40970;163;175;40969
5808496;5978593;407;28460;44;35847;38;35847;82;94;37030;72;85;32063
5808497;5978593;411;28749;45;36295;39;36295;85;97;37332;72;89;32044
5808498;5978593;409;28645;45;36085;39;36085;83;99;37228;70;89;31940
5808499;5978593;397;27804;43;35310;37;35310;76;93;36711;63;80;31423
5808500;5978593;401;28094;39;34883;34;34883;80;99;37001;67;84;31714
5808501;5978593;413;28929;45;36397;39;36397;92;117;37836;79;104;32548
5808502;5978593;413;28941;47;36595;41;36595;92;117;37848;79;104;32560
5808503;5978593;433;30345;59;42569;52;42569;104;129;40387;112;140;40386
5808504;5978593;429;30033;57;42189;49;42189;100;123;40075;108;138;40074
5808505;5978593;424;29653;56;41868;48;41868;89;112;39697;102;135;39694
5808506;5978593;422;29567;56;37837;48;36060;89;112;39686;102;135;39683
5808507;5978593;419;29349;54;37641;47;35864;102;122;38901;109;136;43033
5808508;5978593;417;29164;54;37342;46;35565;99;122;38716;107;134;38715
5808509;5978593;416;29108;53;37417;46;35641;101;122;38852;108;133;42940
5808510;5978593;420;29409;56;37906;49;36130;105;132;39153;112;136;43241
5808511;5978593;418;29288;60;38308;52;36531;104;126;39032;111;136;43120
5808512;5978593;422;29532;59;38493;52;36717;126;141;38921;134;149;38920
5808513;5978593;419;29331;53;37292;46;35515;123;138;38721;131;147;38720
5808514;5978593;418;29246;53;37552;46;35775;122;138;38635;130;143;38634
5808515;5978593;422;29537;53;37816;46;36039;126;141;38927;134;149;38926
5808516;5978593;425;29774;57;38275;50;36499;129;141;39164;137;149;39163
5808517;5978593;431;30185;60;38461;53;36684;135;145;38816;137;149;43585
5808518;5978593;437;30570;61;39935;54;38159;140;150;39202;142;155;43970
5810399;5978593;403;28196;44;35451;38;35451;78;100;36766;74;89;36764
5810400;5978593;405;28374;46;35877;40;35877;81;101;36944;77;92;36941
5810401;5978593;413;28937;47;36431;41;36431;87;101;37520;74;95;32232
5810402;5978593;393;27483;43;34956;37;34956;78;93;36853;65;80;31565
5810403;5978593;394;27554;42;35284;36;35284;78;93;36866;65;80;31579
5810404;5978593;403;28200;42;34890;37;34890;81;99;37107;68;89;31819
5810405;5978593;414;28986;46;36549;40;36549;93;117;37893;80;104;32605
5810406;5978593;416;29091;46;36644;40;36644;94;117;37998;81;104;32710
5810407;5978593;418;29256;58;38312;50;36536;96;117;38163;84;105;32875
5810408;5978593;428;29968;56;37978;48;36201;99;123;40010;107;135;40009
5810409;5978593;419;29356;55;37602;47;35826;86;107;38657;99;135;38654
5810410;5978593;417;29167;55;37424;48;35648;84;105;38468;97;134;38465
5810411;5978593;420;29421;55;37589;47;35812;103;122;38973;110;136;43105
5810412;5978593;412;28872;53;37284;46;35508;90;111;38425;102;129;42555
5810413;5978593;410;28714;53;37072;46;35295;90;111;38460;102;129;42546
5810414;5978593;413;28886;55;37334;48;35558;93;118;38632;108;132;38627
5810415;5978593;418;29293;58;37650;51;35874;104;126;39037;111;136;43125
5810416;5978593;414;28976;54;37079;47;35303;118;132;38365;128;137;38362
5810417;5978593;413;28943;52;37159;46;35382;117;129;38333;127;137;38330
5810418;5978593;417;29202;54;37589;47;35812;121;138;38591;129;143;38590
5810419;5978593;425;29736;56;37940;49;36164;129;141;39126;137;149;39124
5810420;5978593;428;29957;58;38343;51;36567;132;142;39347;138;149;43688
5810421;5978593;431;30173;59;38450;52;36674;135;145;38804;136;149;43573
5810422;5978593;434;30415;58;39770;51;37993;138;148;39046;140;152;43815
5810423;5978593;462;32364;57;38728;50;38728;159;176;41847;155;171;43519
5810457;5978593;511;35773;47;38753;41;38493;106;115;42549;98;111;47228
5810458;5978593;509;35636;48;39308;42;39048;103;112;42293;95;109;46973
5810462;5978593;510;35712;51;40734;44;40474;88;97;45393;78;94;45374
5810463;5978593;510;35711;51;40806;44;40546;86;93;41876;76;90;44872
5810464;5978593;511;35759;52;41215;45;40955;87;92;39371;77;90;44986
5812300;5978593;397;27762;43;35058;37;35058;72;94;36332;68;85;36329
5812301;5978593;400;27993;46;35536;40;35536;75;96;36564;71;89;36561
5812302;5978593;404;28299;49;35962;43;35962;80;101;36870;76;91;36867
5812303;5978593;393;27495;47;36496;41;36496;86;99;37425;73;89;32137
5812304;5978593;389;27241;42;34727;36;34727;82;96;37178;69;89;31891
5812305;5978593;390;27292;39;34295;33;34295;83;96;37236;70;89;31948
5812306;5978593;391;27405;45;35153;39;35153;86;98;36003;73;89;30715
5812307;5978593;393;27543;44;35031;38;35031;88;101;36142;75;95;30854
5812308;5978593;398;27845;45;36247;39;36247;105;116;37354;92;110;32067
5812309;5978593;398;27858;57;38246;49;36469;105;118;37367;92;110;32079
5812310;5978593;401;28055;57;38052;49;36276;108;120;37564;95;116;32276
5812311;5978593;419;29302;55;37606;47;35829;85;107;38603;98;135;38600
5812312;5978593;414;29003;54;37354;47;35578;82;101;38360;97;129;38355
5812313;5978593;412;28832;54;37065;46;35288;85;106;38574;100;132;38569
5812314;5978593;411;28760;53;37081;46;35305;86;106;38132;101;127;38127
5812315;5978593;407;28455;52;36778;45;35002;88;111;38316;100;120;42402
5812316;5978593;409;28657;55;37149;48;35372;91;112;38007;106;132;38002
5812317;5978593;413;28903;57;37556;50;35780;100;122;38251;108;133;42940
5812318;5978593;412;28839;52;36938;45;35161;116;129;38229;126;137;38226
5812319;5978593;410;28693;54;37168;47;35391;114;128;38082;124;135;38080
5812320;5978593;422;29535;53;37657;46;35880;126;141;38925;134;149;38924
5812321;5978593;422;29557;56;38025;49;36249;126;141;38947;134;149;38946
5812322;5978593;425;29758;59;38453;52;36676;127;140;38273;130;145;41020
5812323;5978593;429;30015;59;37799;52;36022;131;145;38530;133;148;43299
5812324;5978593;436;30492;59;38917;52;38917;139;149;39123;141;152;43892
5812325;5978593;462;32325;57;38735;50;38735;158;176;41808;154;171;43480
5812353;5978593;481;33672;46;37277;40;37017;115;134;40283;106;129;36913
5812354;5978593;484;33878;46;37496;40;37236;118;134;40488;109;132;37118
5812355;5978593;492;34429;45;37634;39;37374;123;132;43696;120;131;44108
5812356;5978593;490;34311;47;38055;41;37795;121;131;43556;118;129;43968
5812358;5978593;520;36395;51;38735;45;38475;110;119;42839;102;117;47519
5812359;5978593;517;36193;48;38764;42;38504;108;115;42637;99;114;47317
5812360;5978593;512;35858;48;39714;42;39454;103;112;42302;95;109;46982
5812361;5978593;510;35719;48;39686;42;39426;97;108;39209;90;106;46672
5812362;5978593;508;35559;52;40291;46;40031;90;102;38739;88;104;38738
5812363;5978593;506;35445;49;40221;43;39961;89;99;38626;87;102;38625
5812364;5978593;507;35473;51;40463;44;40203;85;98;41384;76;93;45257
5812365;5978593;508;35574;52;40931;45;40672;87;97;41491;76;93;45250
5812366;5978593;507;35484;53;41611;46;41351;87;92;46099;81;93;45246
5814173;5978593;397;27816;60;34101;54;34034;108;127;34435;98;127;34094
5814174;5978593;407;28494;61;34742;55;34674;118;132;35114;108;134;34773
5814175;5978593;408;28586;67;45417;58;45405;119;135;35205;109;134;34864
5814176;5978593;413;28932;61;43802;53;43791;124;152;39383;139;161;36934
5814201;5978593;394;27575;45;35078;39;35078;69;94;36146;65;85;36143
5814202;5978593;398;27825;47;34739;41;34739;73;94;36396;69;85;36393
5814203;5978593;405;28317;47;35672;40;35672;80;101;36887;76;91;36885
5814204;5978593;390;27286;44;34760;38;34760;84;96;35884;71;89;30596
5814205;5978593;386;27016;42;34393;36;34393;80;92;35615;67;86;30327
5814206;5978593;386;27014;39;34148;34;34148;80;92;35612;67;84;30324
5814207;5978593;388;27161;42;34786;37;34786;82;94;35760;70;89;30472
5814208;5978593;390;27324;43;34922;38;34922;85;96;35922;72;89;30634
5814209;5978593;396;27698;44;36074;38;36074;103;116;37207;90;110;31919
5814210;5978593;395;27634;46;36066;40;36066;102;115;37144;89;106;31856
5814211;5978593;398;27851;59;38295;51;36519;105;116;37360;92;110;32072
5814212;5978593;420;29383;57;37767;49;35990;87;107;38684;100;135;38681
5814213;5978593;415;29038;57;37687;49;35910;87;107;38712;102;132;38707
5814214;5978593;410;28686;54;36936;46;35159;84;105;37990;99;129;37986
5814215;5978593;408;28548;55;36975;48;35198;82;101;37852;97;120;37848
5814216;5978593;404;28287;53;36652;46;34876;86;106;37637;101;126;37632
5814217;5978593;404;28309;56;36608;49;34831;86;106;37659;101;126;37654
5814218;5978593;405;28376;56;37244;49;35467;87;107;37726;102;126;37721
